,Unnamed: 0,Unnamed: 0.1,wine_id,name,vintage,wine_type,grape_simple,rating_num,kprice,imgurl
1784,1784,1784,1784,County Chardonnay Unfiltered,2016,White wine,Chardonnay,164 ratings,"60,877",//images.vivino.com/thumbs/bF_HuDPHTWW6H30xH_KwfQ_pb_x600.png
1785,1785,1785,1785,Estate Grown Red Icon,2014,Red wine,Blend,170 ratings,"124,008",//images.vivino.com/thumbs/RuW5KHVFTBSsNi2QJKQaYQ_pb_x600.png
1786,1786,1786,1786,Ce_e de Brouilly Les Griottes de Brulhie,2019,Red wine,Gamay,172 ratings,"49,603",//images.vivino.com/thumbs/su0b5vRxSwyFAaMPBcL5Vg_pb_x600.png
1787,1787,1787,1787,Lote Especial Malbec La Brava,2020,Red wine,Malbec,176 ratings,"38,330",//images.vivino.com/thumbs/Z6FLxySfTIeOwXyeYlwfDg_pb_x600.png
1788,1788,1788,1788,Hernicvs Cesanese del Piglio Superiore,2018,Red wine,Cesanese,182 ratings,"47,349",//images.vivino.com/thumbs/K7_UU9-kRPGln-WrFdteTA_pb_x600.png
1789,1789,1789,1789,Yantra,2019,Red wine,Sangiovese,138 ratings,"42,839",//images.vivino.com/thumbs/g6EMacqxQkqVkVRwJYK0_Q_pb_x600.png
1790,1790,1790,1790,Noi 4 Bolgheri,2016,Red wine,Blend,186 ratings,"74,405",//images.vivino.com/thumbs/kgH8hDtESzGHOYOc6Yz3FQ_pb_x600.png
1791,1791,1791,1791,Cabernet Sauvignon,2017,Red wine,Cabernet Sauvignon,189 ratings,"48,476",//images.vivino.com/thumbs/1Z8SI9QkSKmSQkIvrPokwg_150x200.jpg
1792,1792,1792,1792,Madrechiesa Morellino di Scansano Riserva,2015,Red wine,Sangiovese,189 ratings,"81,477",//images.vivino.com/thumbs/kUE4CeGOQJWG0qOoPYsj1A_pb_x600.png
1793,1793,1793,1793,Lauren's Single Vineyard Agrelo Cabernet Franc,2017,Red wine,Cabernet Franc,191 ratings,"56,367",//images.vivino.com/thumbs/Kahf6emKTUuspxMdTb2ZAw_pb_x600.png
